patient_id,dataset,qc_pass,error_msg,shape,spacing,affine_match
BraTS2021_00000,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00002,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00003,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00005,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00006,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00008,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00009,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00011,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00012,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00014,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00016,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00017,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00018,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00019,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00020,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00021,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00022,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00024,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00025,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00026,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00028,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00030,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00031,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00032,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00033,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00035,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00036,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00043,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00044,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00045,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00046,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00048,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00049,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00051,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00052,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00053,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00054,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00056,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00058,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
BraTS2021_00059,BraTS2021,1,,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))",1
