query_patient_id,avg_top5_sim,best_match_sim
TCGA-19-5951,0.98832786,0.9893495
BraTS-GLI-02213-100,0.9910226,0.9926144
BraTS-GLI-02519-105,0.9889847,0.98937905
BraTS2021_01037,0.9895822,0.9901372
BraTS-GLI-02297-100,0.98885936,0.9895417
BraTS2021_00234,0.9916663,0.99173623
BraTS2021_00431,0.99042094,0.9911022
BraTS2021_00044,0.9887037,0.98915005
TCGA-HT-7690,0.9867592,0.98771375
BraTS2021_00310,0.9893368,0.9896069
BraTS-GLI-02214-104,0.9891337,0.99118793
BraTS2021_00449,0.9901392,0.99069834
BraTS2021_01256,0.988754,0.9894434
BraTS2021_01048,0.9901606,0.9910929
BraTS2021_01217,0.99045837,0.99080914
BraTS2021_00429,0.98961526,0.9901979
BraTS2021_00792,0.98691654,0.98847306
BraTS2021_00606,0.98893416,0.98928034
BraTS2021_00455,0.98872966,0.9894353
BraTS2021_00739,0.9890504,0.98942196
BraTS-GLI-02532-102,0.9915773,0.9924351
BraTS2021_00725,0.9901415,0.9905957
BraTS2021_00809,0.9886633,0.9894532
BraTS-GLI-02519-100,0.9891454,0.98967755
BraTS2021_00502,0.9876059,0.98805845
BraTS2021_01398,0.9894824,0.9901885
BraTS2021_00430,0.98935974,0.98986965
BraTS2021_01407,0.9895297,0.9897863
BraTS2021_00706,0.9891556,0.9892782
TCGA-76-6663,0.989868,1.0
BraTS2021_01411,0.989879,0.990928
BraTS2021_00539,0.988929,0.98915994
BraTS2021_01065,0.98881406,0.9891474
TCGA-02-0075,0.991195,1.0000001
BraTS2021_01237,0.98954237,0.9905263
BraTS2021_00500,0.9878248,0.98855317
BraTS-GLI-02210-101,0.99199474,0.992553
BraTS2021_00386,0.98929137,0.9897475
BraTS2021_00158,0.9901231,0.9910225
BraTS-GLI-02133-103,0.9893688,0.9896976
BraTS2021_00267,0.98888797,0.9891554
BraTS2021_00238,0.9916096,0.9920498
TCGA-06-0646,0.9911578,0.99999994
BraTS2021_01195,0.98806876,0.9886449
BraTS2021_00351,0.9899513,0.99017525
BraTS2021_01120,0.9902361,0.99054694
BraTS2021_01163,0.9925004,0.99316573
TCGA-FG-7634,0.9904882,0.990819
BraTS-GLI-02212-104,0.9915124,0.99495673
BraTS2021_00341,0.9905466,0.9910592
BraTS-GLI-02587-105,0.99139816,0.9949957
BraTS-GLI-02402-101,0.9881301,0.9914277
TCGA-CS-6665,0.9879894,0.988979
BraTS2021_00046,0.98835295,0.98926795
BraTS2021_01288,0.99080145,0.99134874
BraTS2021_00306,0.99013984,0.99035794
TCGA-06-5408,0.992414,1.0000002
BraTS2021_00690,0.99066937,0.9909788
BraTS2021_01113,0.9894762,0.9896249
BraTS2021_01116,0.99017954,0.9903387
BraTS-GLI-02122-100,0.9883038,0.9900161
BraTS2021_01205,0.9895471,0.9897698
BraTS-GLI-02559-101,0.99080974,0.9919181
BraTS2021_01377,0.9885103,0.98886144
BraTS-GLI-02587-103,0.9923295,0.99521124
TCGA-CS-6188,0.9875973,0.9889066
BraTS2021_00747,0.9889127,0.98931795
BraTS2021_00311,0.9899812,0.99047613
TCGA-02-0027,0.9917244,0.99999994
TCGA-DU-A5TS,0.98441917,0.9847372
TCGA-08-0392,0.99162865,0.9999999
BraTS2021_00378,0.9914888,0.99167895
BraTS2021_00641,0.9906424,0.9911368
BraTS2021_00774,0.9886154,0.989009
BraTS2021_00406,0.98961866,0.9899566
BraTS-GLI-02126-100,0.99115837,0.9937083
BraTS2021_00390,0.98750514,0.9877988
BraTS2021_00018,0.9901,0.9910519
BraTS2021_01005,0.9907633,1.0
BraTS-GLI-02356-101,0.98941374,0.99124396
BraTS2021_01424,0.98791283,0.98838663
BraTS2021_01393,0.989308,0.9894117
BraTS2021_01088,0.9915556,0.99203503
BraTS2021_01072,0.989569,0.98986256
TCGA-76-6280,0.9910506,1.0
BraTS-GLI-02500-105,0.9888805,0.9912946
BraTS2021_01196,0.9874676,0.9880362
TCGA-DU-7300,0.98809814,0.98908603
BraTS2021_00602,0.98787624,0.9884172
BraTS2021_01042,0.98950833,0.9899504
BraTS2021_00578,0.9859007,0.9886422
BraTS-GLI-02587-104,0.9911834,0.9949957
BraTS2021_00338,0.98961544,0.9897208
BraTS2021_00628,0.98992336,0.99086565
BraTS2021_00793,0.98850566,0.98884094
BraTS2021_00707,0.9894161,0.9895771
TCGA-06-0184,0.9918386,1.0000002
BraTS2021_01230,0.988917,0.98923945
BraTS-GLI-02559-103,0.9886233,0.989009
BraTS2021_01392,0.9897768,0.990646
